Feature,Target_Corr,Importance,Abs_Target_Corr,VIF,Importance_Rank,Corr_Rank
Profile_mean,-0.6731805813749461,0.004853167,0.6731805813749461,365.49580843412656,25.0,8.0
Profile_stdev,-0.3637082087042347,0.0060665053,0.3637082087042347,8.43119259156779,21.0,16.0
Profile_skewness,0.7915913821325189,0.6792319,0.7915913821325189,44.97891567795442,1.0,1.0
Profile_kurtosis,0.7095280231867555,0.0087715965,0.7095280231867555,20.622416500755644,13.0,4.0
DM_mean,0.4008760925920628,0.0067289644,0.4008760925920628,4.4407455845405694,18.0,14.0
DM_stdev,0.49153505997913316,0.0072224536,0.49153505997913316,7.981276695683058,17.0,12.0
DM_skewness,-0.39081632359319335,0.0064883325,0.39081632359319335,39.81820781972832,19.0,15.0
DM_kurtosis,-0.259116695816342,0.0049530324,0.259116695816342,20.977202754389676,24.0,17.0
Score1,0.7110134117657271,0.003223689,0.7110134117657271,18.64911230483026,30.0,3.0
Score2,0.6877188195625297,0.037556976,0.6877188195625297,13.006427590520849,2.0,5.0
Score3,-0.6859429940259446,0.004680498,0.6859429940259446,3.1565129315804787,27.0,6.0
Score4,0.673180581374947,0.0056784158,0.673180581374947,39.753776557104736,23.0,7.0
Score5,-0.0035120658279746784,0.0048078126,0.0035120658279746784,46.70295309816788,26.0,30.0
Score6,-0.737319451183077,0.0046210997,0.737319451183077,3.724885634988138,29.0,2.0
Score7,-0.004440651230178355,0.005752345,0.004440651230178355,46.705841377982466,22.0,29.0
Score8,-0.09352159507664583,0.011893855,0.09352159507664583,1.1091510822809687,8.0,24.0
Score9,-0.5494794084718286,0.008860276,0.5494794084718286,9.873151195743187,12.0,11.0
Score10,-0.011827037337344026,0.004649555,0.011827037337344026,1.004664477620154,28.0,28.0
Score11,-0.6058990466564085,0.008351407,0.6058990466564085,10.36973338429877,14.0,10.0
Score12,0.24190619183963885,0.013947486,0.24190619183963885,1.7467405718835851,7.0,18.0
Score13,0.12450012419816779,0.032649305,0.12450012419816779,28.138234090258013,3.0,22.0
Score14,-0.07070753349855112,0.027335992,0.07070753349855112,1.1849733446462012,5.0,25.0
Score15,-0.18645623076681064,0.017997738,0.18645623076681064,3.128021959866511,6.0,21.0
Score16,0.11365396308653436,0.029729106,0.11365396308653436,29.386099684524563,4.0,23.0
Score17,-0.23718062595494518,0.009033442,0.23718062595494518,1.4255100796464513,11.0,19.0
Score18,-0.023056168489979097,0.0060951123,0.023056168489979097,1.0620743674414235,20.0,27.0
Score19,-0.18722045554275715,0.008103062,0.18722045554275715,3.0626061667968343,15.0,20.0
Score20,-0.04536047305179447,0.007861374,0.04536047305179447,3.3661644781527325,16.0,26.0
Score21,0.47914854782524496,0.011411621,0.47914854782524496,5.611016871891931,10.0,13.0
Score22,0.6404388186996257,0.011444066,0.6404388186996257,8.174889029263376,9.0,9.0
